,Question,Actual_Answer,Mod_Response_1,Mod_Response_2,Mod_Response_3,Mod_Response_4,Mod_Response_5
219,will the height of the arms and the length of the foot rests on this chair be suitable for someone who is 125 lbs and 58 inches tall ?,do not think so .,Do not think so.,Do not think so..,Do not believe so.,Should fit fine.,Do not know.
220,is this a uscellular phone,not that i know of .,Not that i know of.,No it is not,Not that i can see.,Yes it is.,I do not think so
221,how durable is it ? i want one that lasts for years not months .,meh . .,Very good,,It is good,Very easy,
222,does this fit a verizon blackberry curve 9310,yes i think so .,Yes it does.,Yes i believe so.,Yes i think so.,,
223,are these pills enteric coated ?,yes .,Yes.,Yes they are.,Yes they are enteric coated,Yes and are.,
224,is the expiration date on the boxes far enough away that you can use the strips ?,yes long enough,No expiration date.,No expiration is not.,No expiration is.,Mine were.,No expiration date is not.
225,is it waterproof ?,not waterproof .,No it is not waterproof.,No it is not.,Yes it is,No it is not water proof,It is not waterproof.
226,it says 5pcs set . is this a package of 5 cords ?,no only one cord .,Yes it is,Yes!,Yes i received,Yes it was,Yes that is correct
227,how long does it take for the pink spots to fade away ?,about 1 . 5 weeks,About 3 days,About 2 weeks,3 to 5 days,About 3 weeks,40 minutes
228,does amazon cover the warrenty or do we deal directly with the company for warrenty . noticed there are issues with the handle . what is warrenty ?,i read one year,There is no warranty,I have no idea,I do not know,There is not a lot,Here is the warranty
229,does it hinder your ability to use the front camera for facetime ?,not at all crystal clear image,Not at all,Not at all crystal clear image,Not at all crystal,,
230,what size is the pink and black hoodie ?,ladies small,Turquoise and gray! ym,Youth large,,,
231,do the 64 bottle como whit the case ? ?,no unfortunately they do not .,No they do not.,No.,No. they do not.,No unfortunately they do not.,
232,can i get two of thease and use them to listen to music like a regular pair of headphones,no .,No.,I do not know,No you ca not.,No they ca not.,I do not know sorry.
233,does it come with all original box accessories ?,just wall charger only,Yes it does...,Mine did....,Mine did.,No it does not.,Yes it does.
234,can this work with an iphone,no just for android .,No.,No it cannot.,No it wo not.,No...,
235,will a regular sized folder fit in this bag ? i . e . for holding 8 1 2 x 11 papers,yes it will .,Yes it will fit,Yes it will.,Yes will fit,Yes it would,Yes it would fit
236,does it use batteries,yep ! two aaas .,No batteries included.,No it does not.,Yes it does,No batteries needed,Yes.
237,type of charger connetor ? usb,yes it comes with usb conector,Usb with wall adopter,Yes it comes with usb conector,Usb and wall adopter,Usb usb wall adopter,Yes it uses wall adopter
238,do they go in dishwasher ?,yes .,Yes.,,,,
239,i am 6 2 and weight 235 bodybuilder what size do you recommend ?,extra large,Extra large,The main index of the chest,May be xxl,,
240,do i have to put this chair together ?,there is some assembly required .,Mine came fully assembled.,Mine did not,No it came fully assembled.,Mine did,No it comes fully assembled.
241,what is the height of the buckets ?,5or 6 inches tall .,A little under 2 inches,1 2 inches.,A little under 2 inch,A little under 3 inch,Inches
242,do they have two velcro pockets in the front,no back pockets,No back pockets,,,,
243,will this phone work with a claro sim card ?,yes it should work .,Yes it will work.,Yes it will.,I do not know. sorry,I do not know sorry.,I do not know.
244,does it come with a screen protector ?,no it does not .,No it does not.,Yes it does.,No it did not.,No.,
245,can you wear these for basketball ?,yes i think so .,Yes i think so.,Yes i believe so.,Yes i would think so.,Yes i recomend,Yes i would
246,will this case work with the zero lemon 7500mah battery ?,sorry not sure .,Sorry not sure,Sorry i do not know,Sorry not really,Not sure.,I do not know
247,will these work with a lg 7000 tens unit ?,yes pads leads are universal .,Yes they do.,Yes they will.,Yes they should be able to.,Do not know.,Yes they should be fine.
248,does this phone work with att,works great thanks !,Yes it does,I do not know,Yes it works very well,No it does not,Sorry i do not know
249,does this phone case have a backstand ?,no it does not,No it does not,No it does not unfortunately,Unfortunately no it does not,,
250,how many bottles are there in this package ?,two botttles,3 bottles,3 tubes,2 bottles,One.,Only one
251,my shoe size is 7 . 5 but my calf is 17 . 25 . . . what size do i select ?,just do the shoe size,Go shoe size,Just do the shoe size,Will do the shoe size,Order just shoe size,Just do the shoe size well
252,is this product authentic herbalife product ?,yes it is,Yes it is,Yes it is!!,,,
253,is this glass or just clear plastic,it is rigid glass very nice,It is hard plastic.,Its hard plastic.,It is a hard plastic.,It is clear plastic.,It is soft plastic.
254,does the chair arrive fully assembled ?,yes in my case,Yes in my,Yes in my opinion,Yes in the.,Yes in plates,Yes in fact it does.
255,250g equals how many ounces ?,8 . 9 oz,8 ounces,16 oz,16 fl oz,16 bars,4. 9 oz
256,how much weight does the manufacturer say the stool will support ?,250 lbs,250 lbs,250 pounds,220 lbs,300 lbs,
257,the description mentions having d rings but i do not see them in the photo of the item . did yours arrive with d ring attachments ?,4 d rings,4 d rings,4 rings,5 d rings,4 rear,
258,will it fit model 30755p,yes and fit well,Sorry i do not know,Sorry do not know,Sorry i do not see why,Sorry ca not help you.,Sorry ca not help
259,is this waterproof ?,no it is not .,No it is not.,No it is not waterproof.,No it is not water proof,No it is not waterprooof.,It is not waterproof.
260,am i able to order a specific color ? my girlfriend obviously wants the pink one !,obviously ? ?,Obviously??,Absolutely!,What is the question?,,
261,will this case work with an extended life battery pack ?,no sorry,No it will not,No sorry,No it wo not,,
262,i wear 8 . 5 9 womens shoe . . . . this is between small and medium sock . should i stay with the small ?,go medium .,Go medium.,Order medium.,Go shoe size,Go large.,
263,are you able to move this mount around in your car or take it down when it is not being used ?,have not tried yet sorry,Yes!!!!,Yes you do.,Yes you can.,Yes!!!,Absolutely!!!!!
264,does this phone have 1 or 2 cameras ? thanks !,only one camera . . .,Only one.,One.,Only one i believe.,,
265,what are the ingredients,vitamin e soybean oil glycerin gelatin,Hydrophilic polymer and potassium ferrate,Polymer and potassium ferrate,Freeze dried sheep,Pure beef gelatin,Vitamine e
266,is it waterproof ?,no it is not .,No it is not waterproof.,No it is not.,Yes it is,No it is not water proof,It is not waterproof.
267,will this case fit the att samsung galaxy note 3 phone ?,yes it does,No it will not.,I dont think so,No it wo not.,Yes it will fit,No it will not fit.
268,does it work for a samsung galaxy s2 ?,yes it works !,Yes it does.,Yes very good,No.,Yes.,No it does not.
269,is it compatible with archos arnova tablets,yes . anything .,I do not know. sorry,Yes i believe so.,Yes it is.,Yes thank you.,I do not think so.
270,does this product fit the galaxy win duos ? ? ?,it fits the s3,Yes it does,No it does not,Yes it does fit,It fits the droid razr m,It should
271,how tall is it when being used as a cane ?,mine is 33 1 2,19 1 2 inches,About 3 inches,About 12 inches,About 4 inches,30 inches
272,will this fit with swiffer sweeper starter kit ?,yes perfectly,Yes it will.,Yes it does.,Yes perfectly,Yes it should.,Yes it fits.
273,would this fit the one touch dl600 ?,it might,No it will not.,No it will not fit.,No it wo not.,I do not know.,Yes it will.
274,how much bulk does it add to the phone ? it shows . 5 thick which would almost double the thickness . is that accurate ?,that is yes .,That is correct.,It is not adjustable.,It is not bulky at all,That is the question?,It is very good
275,are these shirts loose or fitted ? thank you .,item fits fitted,Item fits fitted,Loose but not baggey,Item fits well,Loose but fits fitted,
276,are the made in usa,made in vietnam .,No made in vietnam,Made in vietnam.,Or cambodia.,Absolutely not lol,I do not know
277,can it voice dial from your contacts ?,no i do not think so,No it can not.,No it cannot,No it ca not,No you ca not.,No you can not.
278,can this ipad be used in africa ?,good products and good seller,No.,No it cannot.,Yes it can,Yes.,
279,is it real 4g lte ? is it compatible for 4g in colombia ?,no 4g lte only 4g hsdpa,It is a good phone,It is a very good phone,No 4g,It is 4g lte only.,It is 4g lte
280,does this kit include the glass ?,the touchscreen is the glass,Yes it does.,No it does not.,Yes it did.,Yes.,
281,does it come with the usb cord ?,no it did not .,Yes it does.,No it does not.,Yes mine did.,Usb cord and cable.,Yes.
282,would this work for the samsung galaxy s6,yes it works,Yes it does,Yes it will work.,No it does not.,No it does not work,No it will not.
283,what is the case made from i . e . plastic silicon etc,its plastic,No it is plastic.,It is a hard plastic,Yes it is plastic.,It is made of plastic.,No it is not.
284,is it a case,yes it is .,Yes it is,Yes it is a sticker,Yes it is a hard case,,
285,are there any fillers binders or artificial ingredients in this brand ?,no theres none listed,No theres none listed,No smell at all!,No none whatsoever.,No none listed.,No!!!
286,the phone works for venezuela ?,si trabaja perfectamente con movistar,Si funciona perfectamente,Si funciona muy bien,Si funciona.,Si perfectamente.,Si funciona sin problemas.
287,does the 2 part yellow case have a clear plastic screen protector attached like on the otter box ?,yes it does .,Yes it does.,,,,
288,what kind sim card,it uses a standard micro sim,Standard size sim card.,Micro sim.,Mini sim card,Micro sim. mini sim.,Micro sim. micro sim.
289,how long does it take to charge ?,50 minutes,About 2 hours.,4 hours,2 hours,3 to 4 hours,7 hours
290,2 pictures for this monitor . which one is being sent ? oblong one with large blue frame around display or gray white one with small blue button ?,blue frame around display,Blue frame is black!,It is black,Blue frame is black case,It is blue,Blue frame is black cover
291,can you use this with one hand to roll out the other arms tricep ?,not to well,Do not waste your money,Not much at walmart.,Not possible,Not to my knowledge!,Not much at all!
292,how many grams of protein does each one contain ?,22 grams per 8oz,15 grams per bar,22 grams per bar,24 grams per bar,15 grams per serving,22 grams per serving
293,can it be used on ps3 ?,yes it sure can,Yes it can,Yes you can,,,
294,will it work with an ipod 4th generation,yes but useless do not buy,No it will not.,Yes it will work.,Yes it does,No it does not.,No it wo not.
295,is it the squishy silicone hard silicone or snap on case ?,squishy silicon,It is the squishy.,Squishy silicon,It is squishy silicone.,It is squishy.,
296,does it have a dedicated sliding on off switch ?,no it does not,No it does not,No it does not have.,No it does not have one,,
297,excuse me but i want to know whats the weight of this iteme . ? ? and thank you,it was very light .,.,Zinc 30mg,And,,
298,what is non retail packaging,yes it was non retail packaging,No retail packaging,No it in a pump,Yes it is.,No it in a box,No it is retail packaging
299,on your current 12 27 2014 listing what is the exp date ?,aug 3016,08 2016 or later,12 2016,03 2016,08 2016,Feb. 2015
300,i have a glock 42 . will this shirt fit that size ?,i cai a full size 1911,I cai a full size 1911,I cai a medium size,I cai a full large,I cai a standard size 1911,I cai a little larger.
301,can i use wifi with this phone,yes wifi and bluetooth capable .,Yes you can,Yes of course,Yes u can,Yes i can,
302,what size is the pink and black hoodie ?,turquoise and gray ! ym,Turquoise and gray! ym,Youth large,,,
303,does this cause pixelation of the screen at all ? i recently bought a tech armor screen protector which pixelates the screen terribly .,no difference with without screen protector,No difference at all,No difference on case,No difference on my case,No difference on the case,No i have not tried it
304,will it fit verzion droid razr,not to my knowledge .,Not to my knowledge.,It is not.,Not at all.,No it is not.,Not sure
305,will this work with a computer ?,if your computer has bluetooth yes,Yes with any bluetooth device.,Yes no problem,Works with any bluetooth device,Yes of course,Yes very well
306,can i control songs via the arrow on the steering wheel ? can it be used with iphone 4s ? thanks !,yes you can,Yes for both questions.,Yes you can,,,
307,a third measurement is missing . someone said 6 inches tall and 9 inches wide what is the third measurement ?,10w 6 1 4 tall 6deep,19 x13 x14 fully loaded,10w 6 inches tall.,About 4 inches tall.,10w 6 x 6.,10w 6 1 4 inches wide
308,is this battery operated ?,no just an electrical plug .,No it plugs in,No it is electrical,Yes it is electrical.,No. it plugs in.,No. it is electrical.
309,does this supplement interact with bupropion ?,sprry i am not 100 sure,I do not know,I am not sure,I have no idea,No idea,What is the question?
310,is the sim micro sim,nop its normal sim .,Sim card,It is regular sim.,Excellent and very good,Excellent and very good phone,Nop normal sim card.
311,do you think this would be alright to display a small t shirt ?,yes if it small,Yes it will,Yes if it,Yes,Yes sir,Yes it should
312,will this case fit the sprint version sph i720 ?,who knows i dont . .,I do not know,Sorry i do not know.,Yes it should,I do not know. sorry,Yes it will fit
313,will this work with nexus 5 and nexus 7 2013 models ?,yes and yes,Yes it does,Yes it should.,Yes it will,Yes it should work,
314,this phone can be used in venezuela ?,yes you can .,Puede ser usado en venezuela,Si funciona perfectamente,Si perfectamente.,Yes it can,Yes you can
315,i am 6ft tall with a 30 waist and 37 chest . would you recommend a medium or large ?,go large,Large maybe even an xl.,I would say large.,Go large,Large.,Large maybe even a large.
316,is this item a bister pack ? in other words sealed for freshness ? also does anyone know how much sugar alcohol malliol ? it contains thank you !,yes its a blister pack,Yes it is,Yes to both questions,Yes is a blister pack,,
317,after the bottle is open where to store it ? in the fridge ?,not in the fridge .,Not in the fridge.,Not at all.,No not at all.,Not yet,Not in mine.
318,what is the expiration date ?,my bottle actually says 7 2016,03 31 2015,September 2015,07 2016,07 2015,June 2015
319,does it support video chat eg skype ?,yes ! !,Yes it does,Yes no problem,Yes!!!,Yes!!,Yes!
320,is this product take out 100 the hair in the spot where you apply,if applied twice yes .,Yes it does.,Yes it sure does.,Yes.,Yes. it does.,It sure does.
321,does this phone work in india with a sim ?,excelente todo bien !,Yes it does,Yes it will,Do not know,No it does not.,Yes it will work.
322,i am an 8 81 2 shoes what size would you say ?,small or even an xs,Small long,Small i would,Small or even a,Small i believe,Small i think
323,is the box of 12 tan or white tape ?,12 white paper tape,The seat is powder.,White clay,65 polyester and 35 cotton,65 polyester and.,The stem is solid.
324,do these shorts have a liner ?,they do not have a liner,No liner,They do not have a liner,No they do not have a liner,Do not have a liner,They do not a liner
325,is the stop snoring chin strap machine washable ?,yes .,Yes it is,Yes.,No.,,
326,what does size 6 b m mean ? i want size 6 . 5 .,it means size 6 medium width,Sorry i wear size 10.,It is for large..,It is for a large.,It is a large.,It is for large cuff.
327,what is a good quality brand and color match shoe polish for the burgundy ?,kiwi brand cordovan color,Kiwi brand cordovan color,Kiwi brand brand cordovan color,Very good,Kiwi brand cordovan,Kiwi brand cordovan box
